state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CA,Watsonville,77700.0,36.9206,-121.7706,46018.0,19.7,56.3,43.7,0.7,1.2,3.3,81.4
CA,Weitchpec,4178.0,,,,,,,,,,
CA,West Covina,107598.0,34.0555,-117.9112,69189.0,10.3,83.1,42.8,4.5,1.0,25.8,53.2
CA,West Goshen,618.0,36.349,-119.4516,20700.0,76.4,49.1,54.0,0.4,2.0,1.4,70.1
CA,Westminster,91564.0,33.7523,-117.9938,53455.0,17.8,76.4,35.7,0.9,0.4,47.5,23.6
CA,Whittier,86838.0,33.9678,-118.0188,66457.0,12.5,83.3,64.6,1.3,1.3,3.8,65.7
CA,Willits,8031.0,39.4047,-123.3494,30678.0,30.7,84.3,79.0,0.7,4.4,1.4,20.6
CA,Wilmington,4178.0,,,,,,,,,,
CA,Winchester,2721.0,33.7146,-117.0775,58103.0,14.1,73.6,62.2,1.5,0.7,1.8,48.7
CA,Windsor,27548.0,38.5418,-122.8086,85291.0,4.1,86.8,73.9,0.8,2.2,3.0,31.8
CA,Woodville,1770.0,36.0898,-119.205,32917.0,51.8,27.2,77.3,0.1,1.8,0.3,88.8
CA,Yorba Linda,68229.0,33.889,-117.7713,117855.0,3.6,95.5,75.1,1.3,0.4,15.6,14.4
CA,Yreka,7437.0,41.7292,-122.6311,28333.0,34.3,84.4,83.6,0.7,6.3,1.2,9.7
CA,Yuba City,120186.0,39.1357,-121.6381,50649.0,18.5,78.3,57.6,2.5,1.4,17.2,28.4
CA,Yucca Valley,25009.0,34.1234,-116.4216,40030.0,21.0,85.5,83.5,3.2,1.1,2.3,17.8
CO,Adams County,4178.0,,,,,,,,,,
CO,Alamosa,10963.0,37.4755,-105.877,38525.0,31.75,84.4,71.25,0.95,2.85,1.05,53.650000000000006
CO,Arvada,118807.0,39.8321,-105.1511,69938.0,8.4,94.2,89.8,0.9,0.8,2.2,13.7
CO,Aurora,366623.0,39.7084,-104.7274,53011.0,15.3,86.5,61.1,15.7,1.0,4.9,28.7
CO,Avon,6541.0,39.6445,-106.5133,48022.0,12.8,91.0,76.3,1.8,0.5,1.1,49.0
CO,Bailey,4178.0,,,,,,,,,,
CO,Boulder,126054.0,40.0249,-105.2523,58484.0,23.1,96.3,88.0,0.9,0.4,4.7,8.7
CO,Brandon,27.0,38.4464,-102.4412,,0.0,55.6,100.0,0.0,0.0,0.0,0.0
CO,Brighton,40562.0,39.9716,-104.7964,61051.0,9.9,82.5,77.4,1.5,1.4,1.3,40.5
CO,Broomfield,68341.0,39.9541,-105.0527,81898.0,6.5,95.7,86.1,1.1,0.6,6.1,11.1
CO,Cañon City,4178.0,,,,,,,,,,
CO,Centennial,110250.0,39.5926,-104.8674,91941.0,5.0,97.6,87.3,3.3,0.4,4.4,7.4
CO,Clear Creek Canyon,4178.0,,,,,,,,,,
CO,Colorado City,2316.0,37.9365,-104.8459,52697.0,21.5,100.0,92.8,0.9,1.5,0.2,13.8
CO,Colorado Springs,623946.0,38.8674,-104.7606,54527.0,13.4,93.1,78.8,6.3,1.0,3.0,16.1
CO,Commerce City,55923.0,39.8643,-104.8433,66053.0,15.6,80.1,69.1,3.1,1.5,2.2,46.8
CO,Denver,2787266.0,39.7621,-104.8759,53637.0,17.3,86.1,68.9,10.2,1.4,3.4,31.8
